Unique name,superclass 1
parameter estimation,estimating
parking service,serving-acting
partial discharge inception testing,testing
passing-changing,changing
passing-letting,activity
passing-transferring,acting
passivating,making
patenting,acting
paying,transferring
percolating,passing-transferring
percussing,striking
percussion,tapping
performance testing,testing
performative conversation,conversing
performing,acting
periodic continuous service testing,testing
permissive overreach protection,unit protecting using telecommunication
permissive protection,electrical protecting
permissive underreach protection,unit protecting using telecommunication
permitting,giving
personal protection,protecting
persuading,demonstrating
phase comparison protection,electrical protecting
phase segregated protection,electrical protecting
phase transition,physical processing
phase-fault protection,electrical protecting
phase-sequence testing,electrical rotating machine testing
physical processing,processing
physical separation,separating
physical splitting,physical separation
pickling,acting
piercing,making
pigging,cleaning
piling-driving,driving
piling-placing,placing
pilot wire feeder protection,relay protection
pilot wire protection,unit protecting using telecommunication
piloting,testing
pipe burst,bursting
placing,putting
planning,acting
plant emission,emitting
plant optimisation,optimising
plasma arc welding,arc welding
plasma mig welding,arc welding
platforming,reforming
plugging,fouling
pneumatic to mechanical energy conversion,energy conversion
pneumatic to rotation energy conversion,potential to mechanical energy conversion
poisoning,acting
polarity testing,electrical rotating machine testing
polishing,making
polluting,making
pollution controlling,controlling
position with normal pressure,positioning
positioning,putting
positive displacement,transporting
post-implementation review,reviewing
potential to mechanical energy conversion,energy conversion
power control operation,operating
power conversion,energy conversion
power generation,generating
power system controlling,controlling
power/frequency controlling,secondary controlling of active power in a system
power-line-carrier protection,unit protecting using telecommunication
practicing,performing
precipitating,separating
precommissioning,verifying
predicting,acting
prefabricating,fabricating
preheating,heating
preparing,making
prequalifying,qualifying
presenting,acting
preserving,keeping
pressing,acting
pressure controlling,controlling
pressure decrease,decreasing
pressure deformation,deforming
pressure increase,increasing
pressurising,applying
pressurized containment,non-atmospheric storage
pretreating,treating
preventing,acting
preventive maintenance,maintaining
primary controlling of a speed of generating set,power system controlling
priming,putting
process,activity
process controlling,controlling
process design,designing
process engineering,engineering
process integration,integrating-merging
process simulation,simulating
process supervision,supervising
processing,acting
procuring,buying
producing,making
programming,coding
project,business process
project preparation,preparing
projecting,reproducing
projection welding,resistance welding
prolonging,extending
propagating,spreading
protecting,preventing
protection using telecommunication,electrical protecting
provide resources,providing
providing,supplying
proving,establishing
public relations,business process
publishing,producing
pull-in testing,electrical rotating machine testing
pulling,acting
pulsating,alternating
pumped storage,storing
pumping,creating
purchasing,getting
purging,relieving
purifying,relieving
pushing,activity
putting,acting
pyrolysis,converting
quadrature voltage controlling,voltage controlling
qualifying,assessing
quality assurance,assuring
quenching,cooling
radial operation,operating
radiating,acting
radiographic testing,non-destructive testing
radiography,non-destructive testing
railing,providing
ranking,acting
ratcheting,moving
rating,estimating
ratio controlling,controlling
reacting,activity
reactive power compensation,power system controlling
reactive-power voltage controlling,voltage controlling
readying,making
reaming,widening
receiving,acquiring
reclaiming,obtaining
recognising,acting
recommending,presenting
reconciling,making
recording,registering
records and information management,document management
recovering,restoring
recursion modelling,modelling
recycling,passing-transferring
reduced throughput operation,operating
reducing,activity
reeling-forming,forming
reeling-winding,winding-turning
refilling,filling
reflecting,acting
reforming,treating
refrigerating,process
refusing,activity
regenerating,restoring
registering,making
regulating,directing
